item,day,quantity
SKU001,1,0.0
SKU001,2,0.0
SKU001,3,0.0
SKU001,4,0.0
SKU001,5,0.0
SKU001,6,0.0
SKU001,7,0.0
SKU001,8,0.0
SKU001,9,4.0
SKU001,10,0.0
SKU001,11,0.0
SKU001,12,23.0
SKU001,13,0.0
SKU001,14,0.0
SKU001,15,19.0
SKU001,16,0.0
SKU001,17,0.0
SKU001,18,26.0
SKU001,19,0.0
SKU001,20,0.0
SKU001,21,27.0
SKU001,22,0.0
SKU001,23,0.0
SKU001,24,38.0
SKU001,25,0.0
SKU001,26,0.0
SKU001,27,0.0
SKU001,28,20.0
SKU001,29,0.0
SKU001,30,6.0
SKU002,1,0.0
SKU002,2,0.0
SKU002,3,0.0
SKU002,4,0.0
SKU002,5,0.0
SKU002,6,0.0
SKU002,7,0.0
SKU002,8,0.0
SKU002,9,30.0
SKU002,10,0.0
SKU002,11,0.0
SKU002,12,23.0
SKU002,13,0.0
SKU002,14,0.0
SKU002,15,27.0
SKU002,16,0.0
SKU002,17,0.0
SKU002,18,26.0
SKU002,19,0.0
SKU002,20,0.0
SKU002,21,21.0
SKU002,22,0.0
SKU002,23,0.0
SKU002,24,32.0
SKU002,25,0.0
SKU002,26,0.0
SKU002,27,0.0
SKU002,28,19.0
SKU002,29,0.0
SKU002,30,6.0
SKU003,1,0.0
SKU003,2,0.0
SKU003,3,0.0
SKU003,4,0.0
SKU003,5,0.0
SKU003,6,4.0
SKU003,7,0.0
SKU003,8,0.0
SKU003,9,27.0
SKU003,10,0.0
SKU003,11,0.0
SKU003,12,30.0
SKU003,13,0.0
SKU003,14,0.0
SKU003,15,25.0
SKU003,16,0.0
SKU003,17,0.0
SKU003,18,28.0
SKU003,19,0.0
SKU003,20,0.0
SKU003,21,23.0
SKU003,22,0.0
SKU003,23,0.0
SKU003,24,36.0
SKU003,25,0.0
SKU003,26,0.0
SKU003,27,0.0
SKU003,28,16.0
SKU003,29,0.0
SKU003,30,7.0
SKU004,1,0.0
SKU004,2,0.0
SKU004,3,0.0
SKU004,4,0.0
SKU004,5,0.0
SKU004,6,0.0
SKU004,7,0.0
SKU004,8,0.0
SKU004,9,15.0
SKU004,10,0.0
SKU004,11,0.0
SKU004,12,23.0
SKU004,13,0.0
SKU004,14,0.0
SKU004,15,26.0
SKU004,16,0.0
SKU004,17,0.0
SKU004,18,23.0
SKU004,19,0.0
SKU004,20,0.0
SKU004,21,25.0
SKU004,22,0.0
SKU004,23,0.0
SKU004,24,30.0
SKU004,25,0.0
SKU004,26,0.0
SKU004,27,0.0
SKU004,28,16.0
SKU004,29,0.0
SKU004,30,5.0
SKU005,1,0.0
SKU005,2,0.0
SKU005,3,0.0
SKU005,4,0.0
SKU005,5,0.0
SKU005,6,19.0
SKU005,7,0.0
SKU005,8,0.0
SKU005,9,32.0
SKU005,10,0.0
SKU005,11,0.0
SKU005,12,22.0
SKU005,13,0.0
SKU005,14,0.0
SKU005,15,25.0
SKU005,16,0.0
SKU005,17,0.0
SKU005,18,29.0
SKU005,19,0.0
SKU005,20,0.0
SKU005,21,21.0
SKU005,22,0.0
SKU005,23,0.0
SKU005,24,26.0
SKU005,25,0.0
SKU005,26,0.0
SKU005,27,0.0
SKU005,28,20.0
SKU005,29,0.0
SKU005,30,6.0
