nurse,day
Anne,Friday
Anne,Sunday
Cathy,Thursday
Cathy,Tuesday
Joan,Thursday
Joan,Saturday
Juliet,Monday
Juliet,Tuesday
Juliet,Thursday
Nathalie,Sunday
Nathalie,Thursday
Isabelle,Monday
Isabelle,Thursday
Patricia,Saturday
Patricia,Wednesday
Nicole,Friday
Nicole,Wednesday
Jude,Tuesday
Jude,Friday
Debbie,Saturday
Debbie,Wednesday
Joyce,Sunday
Joyce,Thursday
Chris,Thursday
Chris,Tuesday
Cecilia,Friday
Cecilia,Wednesday
Patrick,Saturday
Patrick,Sunday
Cindy,Sunday
Dee,Tuesday
Dee,Friday
Jemma,Friday
Jemma,Wednesday
Bethanie,Wednesday
Bethanie,Tuesday
Betsy,Monday
Betsy,Thursday
David,Monday
Gloria,Monday
Jane,Saturday
Jane,Sunday
Janelle,Wednesday
Janelle,Friday
Julie,Sunday
Kate,Tuesday
Kate,Monday
Nancy,Sunday
Roberta,Friday
Roberta,Saturday
Janice,Tuesday
Janice,Friday
Suzanne,Monday
Vickie,Wednesday
Vickie,Friday
Wendie,Thursday
Wendie,Saturday
Zoe,Saturday
Zoe,Sunday
